strategy;subStrategy;nFotogramas;width;height;ns;nProcs;threadsPorProceso;total_time;frame_0_time;frame_1_time;frame_2_time;frame_3_time;frame_4_time
cols;cols;1;32;32;1;1;1;0,0021929;0,0021929;;;;
cols;cols;1;32;32;2;1;1;0,0023184;0,0023184;;;;
cols;cols;1;32;32;5;1;1;0,0042713;0,0042713;;;;
cols;cols;1;32;32;10;1;1;0,0047092;0,0047092;;;;
cols;cols;1;32;64;1;1;1;0,0022398;0,0022398;;;;
cols;cols;1;32;64;2;1;1;0,0028445;0,0028445;;;;
cols;cols;1;32;64;5;1;1;0,0046256;0,0046256;;;;
cols;cols;1;32;64;10;1;1;0,012035;0,012035;;;;
cols;cols;1;32;256;1;1;1;0,0040903;0,0040903;;;;
cols;cols;1;32;256;2;1;1;0,0065106;0,0065106;;;;
cols;cols;1;32;256;5;1;1;0,0139639;0,0139639;;;;
cols;cols;1;32;256;10;1;1;0,0264743;0,0264743;;;;
cols;cols;1;32;512;1;1;1;0,006888;0,006888;;;;
cols;cols;1;32;512;2;1;1;0,011544;0,011544;;;;
cols;cols;1;32;512;5;1;1;0,0388356;0,0388356;;;;
cols;cols;1;32;512;10;1;1;0,0526651;0,0526651;;;;
cols;cols;1;32;1024;1;1;1;0,0135275;0,0135275;;;;
cols;cols;1;32;1024;2;1;1;0,0345901;0,0345901;;;;
cols;cols;1;32;1024;5;1;1;0,0513609;0,0513609;;;;
cols;cols;1;32;1024;10;1;1;0,100093;0,100093;;;;
cols;cols;1;64;32;1;1;1;0,0023577;0,0023577;;;;
cols;cols;1;64;32;2;1;1;0,0029429;0,0029429;;;;
cols;cols;1;64;32;5;1;1;0,0068704;0,0068704;;;;
cols;cols;1;64;32;10;1;1;0,0075137;0,0075137;;;;
cols;cols;1;64;64;1;1;1;0,0030765;0,0030765;;;;
cols;cols;1;64;64;2;1;1;0,0055703;0,0055703;;;;
cols;cols;1;64;64;5;1;1;0,0079017;0,0079017;;;;
cols;cols;1;64;64;10;1;1;0,013826;0,013826;;;;
cols;cols;1;64;256;1;1;1;0,006513;0,006513;;;;
cols;cols;1;64;256;2;1;1;0,0115474;0,0115474;;;;
cols;cols;1;64;256;5;1;1;0,0441802;0,0441802;;;;
cols;cols;1;64;256;10;1;1;0,0514188;0,0514188;;;;
cols;cols;1;64;512;1;1;1;0,0119805;0,0119805;;;;
cols;cols;1;64;512;2;1;1;0,0345798;0,0345798;;;;
cols;cols;1;64;512;5;1;1;0,0644457;0,0644457;;;;
cols;cols;1;64;512;10;1;1;0,105091;0,105091;;;;
cols;cols;1;64;1024;1;1;1;0,0359096;0,0359096;;;;
cols;cols;1;64;1024;2;1;1;0,0431564;0,0431564;;;;
cols;cols;1;64;1024;5;1;1;0,112362;0,112362;;;;
cols;cols;1;64;1024;10;1;1;0,209748;0,209748;;;;
