threadsX;threadsY;width;height;ns;timer_seconds
1;1;32;32;1;0.031
1;4;32;32;1;0.023
1;8;32;32;1;0.023
1;16;32;32;1;0.022
1;32;32;32;1;0.023
4;1;32;32;1;0.025
4;4;32;32;1;0.026
4;8;32;32;1;0.025
4;16;32;32;1;0.025
4;32;32;32;1;0.026
8;1;32;32;1;0.026
8;4;32;32;1;0.025
8;8;32;32;1;0.026
8;16;32;32;1;0.026
8;32;32;32;1;0.026
16;1;32;32;1;0.026
16;4;32;32;1;0.027
16;8;32;32;1;0.027
16;16;32;32;1;0.026
16;32;32;32;1;0.026
32;1;32;32;1;0.026
32;4;32;32;1;0.026
32;8;32;32;1;0.026
32;16;32;32;1;0.026
32;32;32;32;1;0.026
1;1;32;32;2;0.034
1;4;32;32;2;0.028
1;8;32;32;2;0.027
1;16;32;32;2;0.027
1;32;32;32;2;0.027
4;1;32;32;2;0.028
4;4;32;32;2;0.03
4;8;32;32;2;0.032
4;16;32;32;2;0.031
4;32;32;32;2;0.03
8;1;32;32;2;0.028
8;4;32;32;2;0.03
8;8;32;32;2;0.03
8;16;32;32;2;0.03
8;32;32;32;2;0.03
16;1;32;32;2;0.032
16;4;32;32;2;0.033
16;8;32;32;2;0.033
16;16;32;32;2;0.034
16;32;32;32;2;0.033
32;1;32;32;2;0.032
32;4;32;32;2;0.032
32;8;32;32;2;0.033
32;16;32;32;2;0.032
32;32;32;32;2;0.034
1;1;32;32;5;0.044
1;4;32;32;5;0.035
1;8;32;32;5;0.036
1;16;32;32;5;0.037
1;32;32;32;5;0.038
4;1;32;32;5;0.042
4;4;32;32;5;0.044
4;8;32;32;5;0.045
4;16;32;32;5;0.045
4;32;32;32;5;0.045
8;1;32;32;5;0.044
8;4;32;32;5;0.045
8;8;32;32;5;0.046
8;16;32;32;5;0.046
8;32;32;32;5;0.045
16;1;32;32;5;0.05
16;4;32;32;5;0.051
16;8;32;32;5;0.052
16;16;32;32;5;0.051
16;32;32;32;5;0.051
32;1;32;32;5;0.05
32;4;32;32;5;0.049
32;8;32;32;5;0.05
32;16;32;32;5;0.05
32;32;32;32;5;0.052
1;1;32;32;10;0.057
1;4;32;32;10;0.05
1;8;32;32;10;0.05
1;16;32;32;10;0.05
1;32;32;32;10;0.053
4;1;32;32;10;0.065
4;4;32;32;10;0.07
4;8;32;32;10;0.071
4;16;32;32;10;0.072
4;32;32;32;10;0.071
8;1;32;32;10;0.066
8;4;32;32;10;0.072
8;8;32;32;10;0.072
8;16;32;32;10;0.073
8;32;32;32;10;0.073
16;1;32;32;10;0.076
16;4;32;32;10;0.079
16;8;32;32;10;0.079
16;16;32;32;10;0.079
16;32;32;32;10;0.08
32;1;32;32;10;0.076
32;4;32;32;10;0.077
32;8;32;32;10;0.077
32;16;32;32;10;0.077
32;32;32;32;10;0.08
1;1;32;64;1;0.045
1;4;32;64;1;0.03
1;8;32;64;1;0.026
1;16;32;64;1;0.026
1;32;32;64;1;0.025
4;1;32;64;1;0.036
4;4;32;64;1;0.03
4;8;32;64;1;0.03
4;16;32;64;1;0.029
4;32;32;64;1;0.03
8;1;32;64;1;0.029
8;4;32;64;1;0.03
8;8;32;64;1;0.03
8;16;32;64;1;0.031
8;32;32;64;1;0.03
16;1;32;64;1;0.03
16;4;32;64;1;0.03
16;8;32;64;1;0.03
16;16;32;64;1;0.031
16;32;32;64;1;0.029
32;1;32;64;1;0.03
32;4;32;64;1;0.029
32;8;32;64;1;0.031
32;16;32;64;1;0.03
32;32;32;64;1;0.03
1;1;32;64;2;0.051
