strategy;nFotogramas;width;height;ns;nProcs;total_time;frame_0_time;frame_1_time;frame_2_time;frame_3_time;frame_4_time
cols;1;32;32;1;1;0,0025337;0,0025337;;;;
cols;1;32;32;2;1;0,0045219;0,0045219;;;;
cols;1;32;32;5;1;0,0104661;0,0104661;;;;
cols;1;32;32;10;1;0,0208512;0,0208512;;;;
cols;1;32;64;1;1;0,0048019;0,0048019;;;;
cols;1;32;64;2;1;0,009237;0,009237;;;;
cols;1;32;64;5;1;0,0229382;0,0229382;;;;
cols;1;32;64;10;1;0,0449245;0,0449245;;;;
cols;1;32;256;1;1;0,018734;0,018734;;;;
cols;1;32;256;2;1;0,0367423;0,0367423;;;;
cols;1;32;256;5;1;0,0911919;0,0911919;;;;
cols;1;32;256;10;1;0,181714;0,181714;;;;
cols;1;32;512;1;1;0,0373043;0,0373043;;;;
cols;1;32;512;2;1;0,0734228;0,0734228;;;;
cols;1;32;512;5;1;0,18309;0,18309;;;;
cols;1;32;512;10;1;0,36519;0,36519;;;;
cols;1;32;1024;1;1;0,0749603;0,0749603;;;;
cols;1;32;1024;2;1;0,146871;0,146871;;;;
cols;1;32;1024;5;1;0,363853;0,363853;;;;
cols;1;32;1024;10;1;0,725894;0,725894;;;;
cols;1;64;32;1;1;0,0039069;0,0039069;;;;
cols;1;64;32;2;1;0,0074237;0,0074237;;;;
cols;1;64;32;5;1;0,0181357;0,0181357;;;;
cols;1;64;32;10;1;0,0355413;0,0355413;;;;
cols;1;64;64;1;1;0,0108447;0,0108447;;;;
cols;1;64;64;2;1;0,017001;0,017001;;;;
cols;1;64;64;5;1;0,0414114;0,0414114;;;;
cols;1;64;64;10;1;0,0822016;0,0822016;;;;
cols;1;64;256;1;1;0,0363358;0,0363358;;;;
cols;1;64;256;2;1;0,0749915;0,0749915;;;;
cols;1;64;256;5;1;0,179193;0,179193;;;;
cols;1;64;256;10;1;0,358233;0,358233;;;;
cols;1;64;512;1;1;0,0736338;0,0736338;;;;
cols;1;64;512;2;1;0,148702;0,148702;;;;
cols;1;64;512;5;1;0,362999;0,362999;;;;
cols;1;64;512;10;1;0,727362;0,727362;;;;
cols;1;64;1024;1;1;0,148368;0,148368;;;;
cols;1;64;1024;2;1;0,294177;0,294177;;;;
cols;1;64;1024;5;1;0,733364;0,733364;;;;
cols;1;64;1024;10;1;1,462;1,462;;;;
cols;1;256;32;1;1;0,0125262;0,0125262;;;;
cols;1;256;32;2;1;0,0243666;0,0243666;;;;
cols;1;256;32;5;1;0,0644128;0,0644128;;;;
cols;1;256;32;10;1;0,119971;0,119971;;;;
cols;1;256;64;1;1;0,0263209;0,0263209;;;;
cols;1;256;64;2;1;0,0519899;0,0519899;;;;
cols;1;256;64;5;1;0,128438;0,128438;;;;
cols;1;256;64;10;1;0,261588;0,261588;;;;
cols;1;256;256;1;1;0,141452;0,141452;;;;
cols;1;256;256;2;1;0,264394;0,264394;;;;
cols;1;256;256;5;1;0,656019;0,656019;;;;
cols;1;256;256;10;1;1,30273;1,30273;;;;
cols;1;256;512;1;1;0,285724;0,285724;;;;
cols;1;256;512;2;1;0,569634;0,569634;;;;
cols;1;256;512;5;1;1,42719;1,42719;;;;
cols;1;256;512;10;1;2,84204;2,84204;;;;
cols;1;256;1024;1;1;0,577775;0,577775;;;;
cols;1;256;1024;2;1;1,1514;1,1514;;;;
cols;1;256;1024;5;1;2,867;2,867;;;;
cols;1;256;1024;10;1;5,7148;5,7148;;;;
cols;1;512;32;1;1;0,0226506;0,0226506;;;;
cols;1;512;32;2;1;0,0445435;0,0445435;;;;
cols;1;512;32;5;1;0,110062;0,110062;;;;
cols;1;512;32;10;1;0,225656;0,225656;;;;
cols;1;512;64;1;1;0,0487932;0,0487932;;;;
cols;1;512;64;2;1;0,0963813;0,0963813;;;;
cols;1;512;64;5;1;0,244609;0,244609;;;;
cols;1;512;64;10;1;0,475792;0,475792;;;;
cols;1;512;256;1;1;0,229093;0,229093;;;;
cols;1;512;256;2;1;0,458438;0,458438;;;;
cols;1;512;256;5;1;1,12721;1,12721;;;;
cols;1;512;256;10;1;2,25633;2,25633;;;;
cols;1;512;512;1;1;0,529863;0,529863;;;;
cols;1;512;512;2;1;1,04904;1,04904;;;;
cols;1;512;512;5;1;2,62211;2,62211;;;;
cols;1;512;512;10;1;5,24331;5,24331;;;;
cols;1;512;1024;1;1;1,144;1,144;;;;
cols;1;512;1024;2;1;2,26834;2,26834;;;;
cols;1;512;1024;5;1;5,66784;5,66784;;;;
cols;1;512;1024;10;1;11,3189;11,3189;;;;
cols;1;1024;32;1;1;0,0383552;0,0383552;;;;
cols;1;1024;32;2;1;0,0758313;0,0758313;;;;
cols;1;1024;32;5;1;0,18607;0,18607;;;;
cols;1;1024;32;10;1;0,3757;0,3757;;;;
cols;1;1024;64;1;1;0,0952713;0,0952713;;;;
cols;1;1024;64;2;1;0,177421;0,177421;;;;
cols;1;1024;64;5;1;0,43996;0,43996;;;;
cols;1;1024;64;10;1;0,877308;0,877308;;;;
cols;1;1024;256;1;1;0,41599;0,41599;;;;
cols;1;1024;256;2;1;0,824656;0,824656;;;;
cols;1;1024;256;5;1;2,0518;2,0518;;;;
cols;1;1024;256;10;1;4,09931;4,09931;;;;
cols;1;1024;512;1;1;0,917801;0,917801;;;;
cols;1;1024;512;2;1;1,82537;1,82537;;;;
cols;1;1024;512;5;1;4,52981;4,52981;;;;
cols;1;1024;512;10;1;9,02026;9,02026;;;;
cols;1;1024;1024;1;1;2,12466;2,12466;;;;
cols;1;1024;1024;2;1;4,2384;4,2384;;;;
cols;1;1024;1024;5;1;10,4583;10,4583;;;;
cols;1;1024;1024;10;1;21,3234;21,3234;;;;
cols;2;32;32;1;1;0,0024855;0,0024855;;;;
cols;2;32;32;2;1;0,0045269;0,0045269;;;;
cols;2;32;32;5;1;0,0104816;0,0104816;;;;
cols;2;32;32;10;1;0,0213305;0,0213305;;;;
cols;2;32;64;1;1;0,0048251;0,0048251;;;;
cols;2;32;64;2;1;0,0092785;0,0092785;;;;
cols;2;32;64;5;1;0,0228661;0,0228661;;;;
cols;2;32;64;10;1;0,0447823;0,0447823;;;;
cols;2;32;256;1;1;0,0187113;0,0187113;;;;
cols;2;32;256;2;1;0,0370093;0,0370093;;;;
cols;2;32;256;5;1;0,090917;0,090917;;;;
cols;2;32;256;10;1;0,181247;0,181247;;;;
cols;2;32;512;1;1;0,0372991;0,0372991;;;;
cols;2;32;512;2;1;0,0736457;0,0736457;;;;
cols;2;32;512;5;1;0,182874;0,182874;;;;
cols;2;32;512;10;1;0,365232;0,365232;;;;
cols;2;32;1024;1;1;0,0748387;0,0748387;;;;
cols;2;32;1024;2;1;0,146907;0,146907;;;;
cols;2;32;1024;5;1;0,363046;0,363046;;;;
cols;2;32;1024;10;1;0,72412;0,72412;;;;
cols;2;64;32;1;1;0,0039282;0,0039282;;;;
cols;2;64;32;2;1;0,0074351;0,0074351;;;;
cols;2;64;32;5;1;0,0181138;0,0181138;;;;
cols;2;64;32;10;1;0,0356638;0,0356638;;;;
cols;2;64;64;1;1;0,0090622;0,0090622;;;;
cols;2;64;64;2;1;0,0170692;0,0170692;;;;
cols;2;64;64;5;1;0,0416139;0,0416139;;;;
cols;2;64;64;10;1;0,0823358;0,0823358;;;;
cols;2;64;256;1;1;0,0365977;0,0365977;;;;
cols;2;64;256;2;1;0,0719582;0,0719582;;;;
cols;2;64;256;5;1;0,18015;0,18015;;;;
cols;2;64;256;10;1;0,357466;0,357466;;;;
cols;2;64;512;1;1;0,0735395;0,0735395;;;;
cols;2;64;512;2;1;0,146737;0,146737;;;;
cols;2;64;512;5;1;0,366136;0,366136;;;;
cols;2;64;512;10;1;0,730451;0,730451;;;;
cols;2;64;1024;1;1;0,148249;0,148249;;;;
cols;2;64;1024;2;1;0,295162;0,295162;;;;
cols;2;64;1024;5;1;0,743522;0,743522;;;;
cols;2;64;1024;10;1;1,4587;1,4587;;;;
cols;2;256;32;1;1;0,012482;0,012482;;;;
cols;2;256;32;2;1;0,0243376;0,0243376;;;;
cols;2;256;32;5;1;0,0600963;0,0600963;;;;
cols;2;256;32;10;1;0,119586;0,119586;;;;
cols;2;256;64;1;1;0,0264806;0,0264806;;;;
cols;2;256;64;2;1;0,0519512;0,0519512;;;;
cols;2;256;64;5;1;0,128607;0,128607;;;;
cols;2;256;64;10;1;0,255818;0,255818;;;;
cols;2;256;256;1;1;0,132608;0,132608;;;;
cols;2;256;256;2;1;0,263956;0,263956;;;;
cols;2;256;256;5;1;0,653236;0,653236;;;;
cols;2;256;256;10;1;1,30314;1,30314;;;;
cols;2;256;512;1;1;0,2885;0,2885;;;;
cols;2;256;512;2;1;0,569755;0,569755;;;;
cols;2;256;512;5;1;1,42336;1,42336;;;;
cols;2;256;512;10;1;2,82888;2,82888;;;;
cols;2;256;1024;1;1;0,577069;0,577069;;;;
cols;2;256;1024;2;1;1,1483;1,1483;;;;
cols;2;256;1024;5;1;2,85861;2,85861;;;;
cols;2;256;1024;10;1;5,71801;5,71801;;;;
cols;2;512;32;1;1;0,0227439;0,0227439;;;;
cols;2;512;32;2;1;0,0446519;0,0446519;;;;
cols;2;512;32;5;1;0,110463;0,110463;;;;
cols;2;512;32;10;1;0,219713;0,219713;;;;
cols;2;512;64;1;1;0,048923;0,048923;;;;
cols;2;512;64;2;1;0,0964386;0,0964386;;;;
cols;2;512;64;5;1;0,241607;0,241607;;;;
cols;2;512;64;10;1;0,478591;0,478591;;;;
cols;2;512;256;1;1;0,228508;0,228508;;;;
cols;2;512;256;2;1;0,454294;0,454294;;;;
cols;2;512;256;5;1;1,13342;1,13342;;;;
cols;2;512;256;10;1;2,26052;2,26052;;;;
cols;2;512;512;1;1;0,530178;0,530178;;;;
cols;2;512;512;2;1;1,06107;1,06107;;;;
cols;2;512;512;5;1;2,61789;2,61789;;;;
cols;2;512;512;10;1;5,22599;5,22599;;;;
cols;2;512;1024;1;1;1,14546;1,14546;;;;
cols;2;512;1024;2;1;2,27482;2,27482;;;;
cols;2;512;1024;5;1;5,67318;5,67318;;;;
cols;2;512;1024;10;1;11,2984;11,2984;;;;
