strategy;nFotogramas;width;height;ns;nThreads;total_time;frame_0_time;frame_1_time;frame_2_time;frame_3_time;frame_4_time
cols;1;32;32;1;1;0,0028191;0,0028042;;;;
cols;1;32;32;2;1;0,0048699;0,0048544;;;;
cols;1;32;32;5;1;0,0109424;0,0109261;;;;
cols;1;32;32;10;1;0,0215864;0,0215702;;;;
cols;1;32;64;1;1;0,0051024;0,0050866;;;;
cols;1;32;64;2;1;0,0097731;0,0097515;;;;
cols;1;32;64;5;1;0,0231906;0,0231743;;;;
cols;1;32;64;10;1;0,0449578;0,0449391;;;;
cols;1;32;256;1;1;0,0191298;0,0191048;;;;
cols;1;32;256;2;1;0,0372045;0,0371784;;;;
cols;1;32;256;5;1;0,091323;0,0912939;;;;
cols;1;32;256;10;1;0,181384;0,181357;;;;
cols;1;32;512;1;1;0,0376536;0,0376205;;;;
cols;1;32;512;2;1;0,0739891;0,073954;;;;
cols;1;32;512;5;1;0,182966;0,182929;;;;
cols;1;32;512;10;1;0,366869;0,366832;;;;
cols;1;32;1024;1;1;0,0739938;0,0739463;;;;
cols;1;32;1024;2;1;0,146783;0,146736;;;;
cols;1;32;1024;5;1;0,365823;0,365766;;;;
cols;1;32;1024;10;1;0,725706;0,725656;;;;
cols;1;64;32;1;1;0,0042254;0,0042072;;;;
cols;1;64;32;2;1;0,0077753;0,0077554;;;;
cols;1;64;32;5;1;0,0185769;0,0185548;;;;
cols;1;64;32;10;1;0,0358593;0,0358426;;;;
cols;1;64;64;1;1;0,0091582;0,0091361;;;;
cols;1;64;64;2;1;0,0175601;0,0175369;;;;
cols;1;64;64;5;1;0,0423759;0,0423519;;;;
cols;1;64;64;10;1;0,0826335;0,0826103;;;;
cols;1;64;256;1;1;0,0408853;0,0408435;;;;
cols;1;64;256;2;1;0,0724522;0,0724195;;;;
cols;1;64;256;5;1;0,182458;0,182419;;;;
cols;1;64;256;10;1;0,368851;0,368816;;;;
cols;1;64;512;1;1;0,0743697;0,0743227;;;;
cols;1;64;512;2;1;0,15004;0,149991;;;;
cols;1;64;512;5;1;0,370567;0,370516;;;;
cols;1;64;512;10;1;0,729655;0,729606;;;;
cols;1;64;1024;1;1;0,148864;0,148791;;;;
cols;1;64;1024;2;1;0,297026;0,296952;;;;
cols;1;64;1024;5;1;0,733057;0,73298;;;;
cols;1;64;1024;10;1;1,46266;1,46251;;;;
cols;1;256;32;1;1;0,012864;0,0128393;;;;
cols;1;256;32;2;1;0,0247418;0,0247145;;;;
cols;1;256;32;5;1;0,0610419;0,0610138;;;;
cols;1;256;32;10;1;0,120763;0,120734;;;;
cols;1;256;64;1;1;0,0268475;0,0268144;;;;
cols;1;256;64;2;1;0,0526127;0,0525796;;;;
cols;1;256;64;5;1;0,129862;0,129823;;;;
cols;1;256;64;10;1;0,256555;0,256521;;;;
cols;1;256;256;1;1;0,133628;0,133553;;;;
cols;1;256;256;2;1;0,26438;0,264305;;;;
cols;1;256;256;5;1;0,660582;0,660506;;;;
cols;1;256;256;10;1;1,32089;1,32082;;;;
cols;1;256;512;1;1;0,28776;0,28763;;;;
cols;1;256;512;2;1;0,570721;0,570589;;;;
cols;1;256;512;5;1;1,41781;1,41768;;;;
cols;1;256;512;10;1;2,82356;2,82342;;;;
cols;1;256;1024;1;1;0,577015;0,576773;;;;
cols;1;256;1024;2;1;1,14934;1,1491;;;;
cols;1;256;1024;5;1;2,85888;2,85863;;;;
cols;1;256;1024;10;1;5,6985;5,69825;;;;
cols;1;512;32;1;1;0,0232284;0,0231872;;;;
cols;1;512;32;2;1;0,0450864;0,0450528;;;;
cols;1;512;32;5;1;0,111084;0,111046;;;;
