strategy;subStrategy;nFotogramas;width;height;ns;nProcs;threadsPorProceso;total_time;frame_0_time;frame_1_time;frame_2_time;frame_3_time;frame_4_time
cols;cols;1;32;32;1;1;4;0,0004435;0,0004435;;;;
cols;cols;1;32;32;3;1;4;0,0006314;0,0006314;;;;
cols;cols;1;32;32;10;1;4;0,0013883;0,0013883;;;;
cols;cols;1;32;256;1;1;4;0,0012015;0,0012015;;;;
cols;cols;1;32;256;3;1;4;0,0025756;0,0025756;;;;
cols;cols;1;32;256;10;1;4;0,0075636;0,0075636;;;;
cols;cols;1;32;512;1;1;4;0,0018265;0,0018265;;;;
cols;cols;1;32;512;3;1;4;0,0046805;0,0046805;;;;
cols;cols;1;32;512;10;1;4;0,0147461;0,0147461;;;;
cols;cols;1;32;1024;1;1;4;0,0033614;0,0033614;;;;
cols;cols;1;32;1024;3;1;4;0,0085284;0,0085284;;;;
cols;cols;1;32;1024;10;1;4;0,0279544;0,0279544;;;;
cols;cols;1;256;32;1;1;4;0,0008589;0,0008589;;;;
cols;cols;1;256;32;3;1;4;0,0020315;0,0020315;;;;
cols;cols;1;256;32;10;1;4;0,0054285;0,0054285;;;;
cols;cols;1;256;256;1;1;4;0,0062483;0,0062483;;;;
cols;cols;1;256;256;3;1;4;0,0174826;0,0174826;;;;
cols;cols;1;256;256;10;1;4;0,0560329;0,0560329;;;;
cols;cols;1;256;512;1;1;4;0,012673;0,012673;;;;
cols;cols;1;256;512;3;1;4;0,0354558;0,0354558;;;;
cols;cols;1;256;512;10;1;4;0,11636;0,11636;;;;
cols;cols;1;256;1024;1;1;4;0,0238342;0,0238342;;;;
cols;cols;1;256;1024;3;1;4;0,0715996;0,0715996;;;;
cols;cols;1;256;1024;10;1;4;0,225127;0,225127;;;;
cols;cols;1;512;32;1;1;4;0,0014557;0,0014557;;;;
cols;cols;1;512;32;3;1;4;0,0031479;0,0031479;;;;
cols;cols;1;512;32;10;1;4;0,0093929;0,0093929;;;;
cols;cols;1;512;256;1;1;4;0,0114559;0,0114559;;;;
cols;cols;1;512;256;3;1;4;0,0334229;0,0334229;;;;
cols;cols;1;512;256;10;1;4;0,109937;0,109937;;;;
cols;cols;1;512;512;1;1;4;0,0228892;0,0228892;;;;
cols;cols;1;512;512;3;1;4;0,0681663;0,0681663;;;;
cols;cols;1;512;512;10;1;4;0,225457;0,225457;;;;
cols;cols;1;512;1024;1;1;4;0,0483666;0,0483666;;;;
cols;cols;1;512;1024;3;1;4;0,141003;0,141003;;;;
cols;cols;1;512;1024;10;1;4;0,462369;0,462369;;;;
cols;cols;1;1024;32;1;1;4;0,0022401;0,0022401;;;;
cols;cols;1;1024;32;3;1;4;0,0052136;0,0052136;;;;
cols;cols;1;1024;32;10;1;4;0,0172678;0,0172678;;;;
cols;cols;1;1024;256;1;1;4;0,0195462;0,0195462;;;;
cols;cols;1;1024;256;3;1;4;0,0559229;0,0559229;;;;
cols;cols;1;1024;256;10;1;4;0,183718;0,183718;;;;
cols;cols;1;1024;512;1;1;4;0,0462062;0,0462062;;;;
cols;cols;1;1024;512;3;1;4;0,134655;0,134655;;;;
cols;cols;1;1024;512;10;1;4;0,445361;0,445361;;;;
cols;cols;1;1024;1024;1;1;4;0,0916057;0,0916057;;;;
cols;cols;1;1024;1024;3;1;4;0,271689;0,271689;;;;
cols;cols;1;1024;1024;10;1;4;0,889633;0,889633;;;;
cols;cols;2;32;32;1;1;4;0,0003949;0,0003949;;;;
cols;cols;2;32;32;3;1;4;0,0006367;0,0006367;;;;
cols;cols;2;32;32;10;1;4;0,0013789;0,0013789;;;;
cols;cols;2;32;256;1;1;4;0,0011441;0,0011441;;;;
cols;cols;2;32;256;3;1;4;0,0025664;0,0025664;;;;
cols;cols;2;32;256;10;1;4;0,0075851;0,0075851;;;;
cols;cols;2;32;512;1;1;4;0,0018652;0,0018652;;;;
cols;cols;2;32;512;3;1;4;0,0046254;0,0046254;;;;
cols;cols;2;32;512;10;1;4;0,0146613;0,0146613;;;;
cols;cols;2;32;1024;1;1;4;0,003272;0,003272;;;;
cols;cols;2;32;1024;3;1;4;0,0085881;0,0085881;;;;
cols;cols;2;32;1024;10;1;4;0,0279698;0,0279698;;;;
cols;cols;2;256;32;1;1;4;0,0008574;0,0008574;;;;
cols;cols;2;256;32;3;1;4;0,0017947;0,0017947;;;;
cols;cols;2;256;32;10;1;4;0,0052089;0,0052089;;;;
cols;cols;2;256;256;1;1;4;0,0062306;0,0062306;;;;
